Timestamp,Event,Details,Capital
2025-05-02T13:08:55.376Z,FVG,"Check: ATR=51.37, fvgSensitivity=0.20, Threshold=10.27",10000.00
2025-05-02T13:08:55.376Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.377Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.377Z,Signal,"CVD check, prevVolume=-2.68, currVolume=-34.99",10000.00
2025-05-02T13:08:55.377Z,Signal,"Nessun CVD, prevVolume=-2.68, currVolume=-34.99",10000.00
2025-05-02T13:08:55.377Z,FVG,"Check: ATR=49.98, fvgSensitivity=0.20, Threshold=10.00",10000.00
2025-05-02T13:08:55.377Z,FVG,"Bearish confermato, top=96510.00, bottom=96490.60, size=19.40",10000.00
2025-05-02T13:08:55.378Z,FVG,"Bearish confermato, top=96510.00, bottom=96490.60, size=19.40",10000.00
2025-05-02T13:08:55.378Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-05-02T13:08:55.379Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.379Z,Signal,"CVD check, prevVolume=-34.99, currVolume=-36.16",10000.00
2025-05-02T13:08:55.379Z,Signal,"Nessun CVD, prevVolume=-34.99, currVolume=-36.16",10000.00
2025-05-02T13:08:55.379Z,FVG,"Check: ATR=52.58, fvgSensitivity=0.20, Threshold=10.52",10000.00
2025-05-02T13:08:55.379Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-05-02T13:08:55.380Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-05-02T13:08:55.380Z,Signal,"CVD check, prevVolume=-36.16, currVolume=-27.73",10000.00
