Timestamp,Event,Details,Capital
2025-04-16T20:27:43.994Z,FVG,"Bearish scartato, size=0.20 < threshold=14.57 ",10000.00
2025-04-16T20:27:43.994Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.995Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.996Z,Signal,"CVD check, prevVolume=217.29, currVolume=217.29",10000.00
2025-04-16T20:27:43.996Z,Signal,"Nessun CVD, prevVolume=217.29, currVolume=217.29",10000.00
2025-04-16T20:27:43.996Z,FVG,"Check: ATR=75.81, fvgSensitivity=0.20, Threshold=15.16",10000.00
2025-04-16T20:27:43.996Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:43.997Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.997Z,Signal,"CVD check, prevVolume=217.29, currVolume=-39.27",10000.00
2025-04-16T20:27:43.997Z,Signal,"Bearish CVD su TF 3m, lastVolume=-39.27",10000.00
2025-04-16T20:27:43.997Z,FVG,"Check: ATR=81.87, fvgSensitivity=0.20, Threshold=16.37",10000.00
2025-04-16T20:27:43.997Z,FVG,"Bullish confermato, top=84892.40, bottom=84872.10, size=20.30",10000.00
2025-04-16T20:27:43.998Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.998Z,Signal,"CVD check, prevVolume=-39.27, currVolume=-24.06",10000.00
2025-04-16T20:27:43.998Z,Signal,"Nessun CVD, prevVolume=-39.27, currVolume=-24.06",10000.00
2025-04-16T20:27:43.999Z,FVG,"Check: ATR=79.18, fvgSensitivity=0.20, Threshold=15.84",10000.00
2025-04-16T20:27:43.999Z,FVG,"Bullish confermato, top=84979.90, bottom=84897.00, size=82.90",10000.00
2025-04-16T20:27:43.999Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:43.999Z,Signal,"CVD check, prevVolume=-24.06, currVolume=-24.06",10000.00
2025-04-16T20:27:43.999Z,Signal,"Nessun CVD, prevVolume=-24.06, currVolume=-24.06",10000.00
2025-04-16T20:27:43.999Z,FVG,"Check: ATR=73.88, fvgSensitivity=0.20, Threshold=14.78",10000.00
2025-04-16T20:27:44.000Z,FVG,"Bullish scartato, size=7.10 < threshold=14.78 ",10000.00
2025-04-16T20:27:44.000Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.000Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.000Z,Signal,"CVD check, prevVolume=-24.06, currVolume=121.36",10000.00
2025-04-16T20:27:44.000Z,Signal,"Bullish CVD su TF 3m, lastVolume=121.36",10000.00
2025-04-16T20:27:44.000Z,FVG,"Check: ATR=82.56, fvgSensitivity=0.20, Threshold=16.51",10000.00
2025-04-16T20:27:44.001Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.001Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.001Z,Signal,"CVD check, prevVolume=121.36, currVolume=60.30",10000.00
2025-04-16T20:27:44.001Z,Signal,"Nessun CVD, prevVolume=121.36, currVolume=60.30",10000.00
2025-04-16T20:27:44.001Z,FVG,"Check: ATR=75.60, fvgSensitivity=0.20, Threshold=15.12",10000.00
2025-04-16T20:27:44.002Z,FVG,"Bearish confermato, top=85029.30, bottom=84977.00, size=52.30",10000.00
2025-04-16T20:27:44.003Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.003Z,Signal,"CVD check, prevVolume=60.30, currVolume=60.30",10000.00
2025-04-16T20:27:44.003Z,Signal,"Nessun CVD, prevVolume=60.30, currVolume=60.30",10000.00
2025-04-16T20:27:44.003Z,FVG,"Check: ATR=74.44, fvgSensitivity=0.20, Threshold=14.89",10000.00
2025-04-16T20:27:44.003Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.004Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.004Z,Signal,"CVD check, prevVolume=60.30, currVolume=-22.86",10000.00
2025-04-16T20:27:44.004Z,Signal,"Bearish CVD su TF 3m, lastVolume=-22.86",10000.00
2025-04-16T20:27:44.004Z,FVG,"Check: ATR=75.12, fvgSensitivity=0.20, Threshold=15.02",10000.00
2025-04-16T20:27:44.004Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.005Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.006Z,Signal,"CVD check, prevVolume=-22.86, currVolume=5.85",10000.00
2025-04-16T20:27:44.006Z,Signal,"Bullish CVD su TF 3m, lastVolume=5.85",10000.00
2025-04-16T20:27:44.006Z,FVG,"Check: ATR=76.74, fvgSensitivity=0.20, Threshold=15.35",10000.00
2025-04-16T20:27:44.006Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.006Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.007Z,Signal,"CVD check, prevVolume=5.85, currVolume=5.85",10000.00
2025-04-16T20:27:44.007Z,Signal,"Nessun CVD, prevVolume=5.85, currVolume=5.85",10000.00
2025-04-16T20:27:44.007Z,FVG,"Check: ATR=81.72, fvgSensitivity=0.20, Threshold=16.34",10000.00
2025-04-16T20:27:44.007Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.007Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.007Z,Signal,"CVD check, prevVolume=5.85, currVolume=-80.00",10000.00
2025-04-16T20:27:44.007Z,Signal,"Bearish CVD su TF 3m, lastVolume=-80.00",10000.00
2025-04-16T20:27:44.008Z,FVG,"Check: ATR=80.46, fvgSensitivity=0.20, Threshold=16.09",10000.00
2025-04-16T20:27:44.008Z,FVG,"Bearish confermato, top=84966.00, bottom=84893.80, size=72.20",10000.00
2025-04-16T20:27:44.008Z,FVG,"Bearish confermato, top=84966.00, bottom=84893.80, size=72.20",10000.00
2025-04-16T20:27:44.008Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-16T20:27:44.008Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.009Z,Signal,"CVD check, prevVolume=-80.00, currVolume=-111.35",10000.00
2025-04-16T20:27:44.009Z,Signal,"Nessun CVD, prevVolume=-80.00, currVolume=-111.35",10000.00
2025-04-16T20:27:44.009Z,FVG,"Check: ATR=70.30, fvgSensitivity=0.20, Threshold=14.06",10000.00
2025-04-16T20:27:44.009Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.009Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.010Z,Signal,"CVD check, prevVolume=-111.35, currVolume=-111.35",10000.00
2025-04-16T20:27:44.010Z,Signal,"Nessun CVD, prevVolume=-111.35, currVolume=-111.35",10000.00
2025-04-16T20:27:44.010Z,FVG,"Check: ATR=63.50, fvgSensitivity=0.20, Threshold=12.70",10000.00
2025-04-16T20:27:44.010Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.011Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.011Z,Signal,"CVD check, prevVolume=-111.35, currVolume=-18.25",10000.00
2025-04-16T20:27:44.011Z,Signal,"Nessun CVD, prevVolume=-111.35, currVolume=-18.25",10000.00
2025-04-16T20:27:44.011Z,FVG,"Check: ATR=67.87, fvgSensitivity=0.20, Threshold=13.57",10000.00
2025-04-16T20:27:44.011Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.012Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.013Z,Signal,"CVD check, prevVolume=-18.25, currVolume=-11.68",10000.00
2025-04-16T20:27:44.013Z,Signal,"Nessun CVD, prevVolume=-18.25, currVolume=-11.68",10000.00
2025-04-16T20:27:44.013Z,FVG,"Check: ATR=64.59, fvgSensitivity=0.20, Threshold=12.92",10000.00
2025-04-16T20:27:44.013Z,FVG,"Bearish scartato, size=10.00 < threshold=12.92 ",10000.00
2025-04-16T20:27:44.013Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.014Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.014Z,Signal,"CVD check, prevVolume=-11.68, currVolume=-11.68",10000.00
2025-04-16T20:27:44.014Z,Signal,"Nessun CVD, prevVolume=-11.68, currVolume=-11.68",10000.00
2025-04-16T20:27:44.014Z,FVG,"Check: ATR=67.58, fvgSensitivity=0.20, Threshold=13.52",10000.00
2025-04-16T20:27:44.014Z,FVG,"Bearish confermato, top=84804.90, bottom=84750.00, size=54.90",10000.00
2025-04-16T20:27:44.014Z,FVG,"Bearish confermato, top=84804.90, bottom=84750.00, size=54.90",10000.00
2025-04-16T20:27:44.015Z,Error,"Entrata saltata: slDistance non valido (0)",10000.00
2025-04-16T20:27:44.016Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.016Z,Signal,"CVD check, prevVolume=-11.68, currVolume=-375.60",10000.00
2025-04-16T20:27:44.016Z,Signal,"Nessun CVD, prevVolume=-11.68, currVolume=-375.60",10000.00
2025-04-16T20:27:44.016Z,FVG,"Check: ATR=68.97, fvgSensitivity=0.20, Threshold=13.79",10000.00
2025-04-16T20:27:44.016Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.017Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.017Z,Signal,"CVD check, prevVolume=-375.60, currVolume=-273.84",10000.00
2025-04-16T20:27:44.018Z,Signal,"Nessun CVD, prevVolume=-375.60, currVolume=-273.84",10000.00
2025-04-16T20:27:44.018Z,FVG,"Check: ATR=69.85, fvgSensitivity=0.20, Threshold=13.97",10000.00
2025-04-16T20:27:44.018Z,FVG,"Bullish confermato, top=84780.90, bottom=84750.00, size=30.90",10000.00
2025-04-16T20:27:44.019Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.019Z,Signal,"CVD check, prevVolume=-273.84, currVolume=-273.84",10000.00
2025-04-16T20:27:44.019Z,Signal,"Nessun CVD, prevVolume=-273.84, currVolume=-273.84",10000.00
